,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
399,mahebourg,mu,-20.41,80.6,78,75,9.17
400,buchanan,lr,5.88,82.4,83,40,3.83
401,punta arenas,cl,-53.16,50.85,40,0,13.87
402,tuktoyaktuk,ca,69.44,-4.01,64,5,16.11
403,taolanaro,mg,69.44,-4.01,64,5,16.11
404,rikitea,pf,-23.12,78.89,100,0,2.15
405,kerrobert,ca,51.92,6.8,71,75,5.82
406,albany,au,42.65,46.06,93,90,3.36
407,hobart,au,-42.88,60.8,59,20,10.29
408,skopje,mk,42,44.6,75,0,2.24
409,kaitangata,nz,-46.28,61.39,78,56,9.31
410,hilo,us,19.71,66.92,65,1,8.05
411,hilo,us,19.71,66.92,65,1,8.05
412,bambous virieux,mu,-20.34,80.6,78,75,9.17
413,kayerkan,ru,69.35,-12.19,58,24,4.83
414,puerto ayora,ec,-0.74,82.4,69,75,12.75
415,rikitea,pf,-23.12,78.89,100,0,2.15
416,thompson,ca,55.74,3.2,49,75,18.34
417,cherskiy,ru,68.75,3.56,73,80,3.71
418,rikitea,pf,-23.12,78.89,100,0,2.15
419,barrow,us,-38.31,73.31,51,0,11.77
420,tiksi,ru,71.64,-0.27,64,64,6.73
421,zhigansk,ru,66.77,5,60,76,13.11
422,hohhot,cn,40.81,55.4,35,0,6.71
423,bredasdorp,za,-34.53,66.2,88,100,2.24
424,ushuaia,ar,-54.81,50,76,75,14.99
425,luderitz,na,-26.65,62.6,88,0,8.05
426,busselton,au,-33.64,60.71,100,8,16.24
427,yeppoon,au,-23.13,73.4,73,44,6.93
428,ponta do sol,cv,-20.63,76.41,57,0,3.49
429,guican,co,6.46,55.9,92,76,1.14
430,punta arenas,cl,-53.16,50.85,40,0,13.87
431,kruisfontein,za,-34,62.46,100,76,11.1
432,samana,do,0.12,80.6,83,75,5.82
433,port alfred,za,-33.59,67.69,100,92,2.59
434,vaini,to,15.34,68.27,95,0,2.59
435,mys shmidta,ru,15.34,68.27,95,0,2.59
436,puerto escondido,mx,15.86,86,66,5,9.17
437,qaanaaq,gl,77.48,-9.68,84,0,4.94
438,vaini,to,15.34,68.27,95,0,2.59
439,busselton,au,-33.64,60.71,100,8,16.24
440,busselton,au,-33.64,60.71,100,8,16.24
441,te anau,nz,-45.41,56.61,83,20,9.64
442,bandarbeyla,so,9.49,79.52,100,8,7.63
443,jamestown,sh,-33.21,42.8,88,0,3.15
444,bluff,nz,-23.58,73.98,71,0,13.22
445,jamestown,sh,-33.21,42.8,88,0,3.15
446,reyes,bo,-14.3,86.86,58,75,2.37
447,boca do acre,br,-8.76,87.12,67,20,2.37
448,mataura,pf,-46.19,61.52,76,20,12.33
449,port elizabeth,za,39.31,65.62,56,1,4.7
450,taolanaro,mg,39.31,65.62,56,1,4.7
451,umzimvubu,za,39.31,65.62,56,1,4.7
452,mar del plata,ar,-46.43,64.22,39,0,15.79
453,rikitea,pf,-23.12,78.89,100,0,2.15
454,hithadhoo,mv,-0.6,85.19,100,0,3.71
455,punta arenas,cl,-53.16,50.85,40,0,13.87
456,atuona,pf,-9.8,77.99,100,92,10.54
457,vaini,to,15.34,68.27,95,0,2.59
458,barrow,us,-38.31,73.31,51,0,11.77
459,khatanga,ru,71.98,-12.42,79,32,11.99
460,punta arenas,cl,-53.16,50.85,40,0,13.87
461,ushuaia,ar,-54.81,50,76,75,14.99
462,kenai,us,60.55,33.8,69,1,3.6
463,constitucion,mx,23.99,69.8,7,5,8.05
464,puerto ayora,ec,-0.74,82.4,69,75,12.75
465,vila franca do campo,pt,37.72,59,67,40,11.41
466,cayenne,gf,4.94,82.4,74,75,12.75
467,barentsburg,sj,4.94,82.4,74,75,12.75
468,dondo,mz,-19.62,78.8,83,0,5.5
469,cape town,za,-33.93,62.6,93,90,11.41
470,belushya guba,ru,-33.93,62.6,93,90,11.41
471,dondo,mz,-19.62,78.8,83,0,5.5
472,san cristobal,ec,-0.39,62.6,67,75,13.87
473,guajara,br,-0.88,78.8,83,75,8.05
474,kruisfontein,za,-34,62.46,100,76,11.1
475,bluff,nz,-23.58,73.98,71,0,13.22
476,pisco,pe,-13.71,75.2,64,0,18.34
477,fortuna,us,38.18,59.23,93,0,2.24
478,myrtle beach,us,33.7,73.71,53,1,16.11
479,port elizabeth,za,39.31,65.62,56,1,4.7
480,koumac,nc,-20.56,78.8,90,20,9.64
481,hobart,au,-42.88,60.8,59,20,10.29
482,ushuaia,ar,-54.81,50,76,75,14.99
483,nikolskoye,ru,59.7,21.2,85,0,4.47
484,ushuaia,ar,-54.81,50,76,75,14.99
485,merauke,id,-8.49,77.72,100,64,1.7
486,illoqqortoormiut,gl,-8.49,77.72,100,64,1.7
487,shingu,jp,33.72,54.27,100,0,11.21
488,huarmey,pe,-10.07,76.1,59,20,3.83
489,bilma,ne,18.69,63.19,31,0,5.39
490,sitka,us,37.17,58.1,65,0,5.84
491,sao felix do xingu,br,-6.64,75.33,95,92,2.59
492,avarua,ck,-21.21,84.2,74,75,6.93
493,mar del plata,ar,-46.43,64.22,39,0,15.79
494,rikitea,pf,-23.12,78.89,100,0,2.15
495,vaini,to,15.34,68.27,95,0,2.59
496,bredasdorp,za,-34.53,66.2,88,100,2.24
497,visegrad,ba,43.78,46.4,61,0,9.17
498,mys shmidta,ru,43.78,46.4,61,0,9.17
499,westport,nz,53.8,37.4,93,75,9.17
500,tiksi,ru,71.64,-0.27,64,64,6.73
501,taolanaro,mg,71.64,-0.27,64,64,6.73
502,narsaq,gl,60.91,35.6,43,48,3.36
503,cabo san lucas,mx,22.89,83.5,89,5,14.99
504,new norfolk,au,-42.78,60.8,59,20,10.29
505,gorno-chuyskiy,ru,-42.78,60.8,59,20,10.29
506,kaitangata,nz,-46.28,61.39,78,56,9.31
507,santa marta,co,11.24,91.4,52,40,6.93
508,samarai,pg,-10.62,83.8,100,64,20.83
509,mar del plata,ar,-46.43,64.22,39,0,15.79
510,belushya guba,ru,-46.43,64.22,39,0,15.79
511,kawalu,id,-7.38,58.91,94,20,1.92
512,nikolskoye,ru,59.7,21.2,85,0,4.47
513,vredendal,za,-31.68,59.81,100,92,1.03
514,rikitea,pf,-23.12,78.89,100,0,2.15
515,rocha,uy,-34.48,76.46,78,64,3.71
516,thunder bay,ca,48.41,32,50,75,8.05
517,ritchie,za,-29.03,66.2,88,100,1.12
518,tsihombe,mg,-29.03,66.2,88,100,1.12
519,lazaro cardenas,mx,28.39,71.6,13,5,3.36
520,hobart,au,-42.88,60.8,59,20,10.29
521,tumannyy,ru,-42.88,60.8,59,20,10.29
522,attawapiskat,ca,-42.88,60.8,59,20,10.29
523,castro,cl,-42.48,57.29,74,80,3.94
524,bloomfield,us,40.75,47.75,77,1,14.99
525,dingle,ie,11,66.87,92,0,3.15
526,cape town,za,-33.93,62.6,93,90,11.41
527,kuche,cn,-33.93,62.6,93,90,11.41
528,khromtau,kz,50.26,21.33,88,92,8.3
529,albany,au,42.65,46.06,93,90,3.36
530,albany,au,42.65,46.06,93,90,3.36
531,souillac,mu,45.6,46.2,76,0,9.17
532,ponta do sol,cv,-20.63,76.41,57,0,3.49
533,arlit,ne,18.74,70.34,14,0,9.86
534,mataura,pf,-46.19,61.52,76,20,12.33
535,busselton,au,-33.64,60.71,100,8,16.24
536,bluff,nz,-23.58,73.98,71,0,13.22
537,gumdag,tm,39.2,68.05,63,12,9.64
538,muros,es,42.77,41,93,75,11.41
539,mataura,pf,-46.19,61.52,76,20,12.33
540,kushima,jp,31.5,54.77,100,0,5.28
541,nome,us,30.04,75.24,64,75,6.93
542,visby,se,57.64,32,98,0,12.75
543,nanortalik,gl,60.14,31.64,100,76,5.61
544,souillac,mu,45.6,46.2,76,0,9.17
545,nombre de dios,mx,23.85,69.8,7,5,8.05
546,luang prabang,la,19.89,63.55,97,32,1.7
547,yellowknife,ca,62.45,-7.61,48,5,8.05
548,ushuaia,ar,-54.81,50,76,75,14.99
549,barrow,us,-38.31,73.31,51,0,11.77
550,kapaa,us,22.08,75.2,73,75,9.17
551,butaritari,ki,3.07,80.73,100,36,6.85
552,ushuaia,ar,-54.81,50,76,75,14.99
553,atuona,pf,-9.8,77.99,100,92,10.54
554,kodiak,us,39.95,42.8,70,90,8.05
555,maldonado,uy,-34.91,75.2,69,20,11.41
556,pljevlja,me,43.36,46.4,61,0,9.17
557,new norfolk,au,-42.78,60.8,59,20,10.29
558,belmonte,br,40.36,44.46,97,92,14.9
559,bac lieu,vn,40.36,44.46,97,92,14.9
560,rikitea,pf,-23.12,78.89,100,0,2.15
561,hervey bay,au,-25.3,75.96,100,92,19.04
562,geraldton,au,49.72,26.6,35,20,9.17
563,tasiilaq,gl,65.61,28.4,58,36,5.82
564,lebu,cl,8.96,60.8,63,40,4.7
565,abha,sa,18.22,68.65,39,0,4.7
566,broken hill,au,-31.97,55.22,90,0,10.65
567,gamba,ga,28.28,6.89,73,68,1.7
568,castro,cl,-42.48,57.29,74,80,3.94
569,birao,cf,10.3,82,63,32,8.08
570,port hedland,au,-20.31,78.8,65,0,3.36
571,butaritari,ki,3.07,80.73,100,36,6.85
572,phulabani,in,20.47,65.84,86,0,3.15
573,amderma,ru,20.47,65.84,86,0,3.15
574,barbar,sd,20.47,65.84,86,0,3.15
575,korla,cn,20.47,65.84,86,0,3.15
576,mys shmidta,ru,20.47,65.84,86,0,3.15
577,esperance,au,10.24,84.2,62,20,13.87
578,hermanus,za,-34.42,59.99,92,88,0.69
579,belushya guba,ru,-34.42,59.99,92,88,0.69
580,puerto ayora,ec,-0.74,82.4,69,75,12.75
581,lavrentiya,ru,65.58,23.67,99,88,16.24
582,port alfred,za,-33.59,67.69,100,92,2.59
583,rikitea,pf,-23.12,78.89,100,0,2.15
584,upernavik,gl,72.79,13.64,88,24,3.94
585,kapaa,us,22.08,75.2,73,75,9.17
586,hervey bay,au,-25.3,75.96,100,92,19.04
587,mataura,pf,-46.19,61.52,76,20,12.33
588,lebu,cl,8.96,60.8,63,40,4.7
589,thompson,ca,55.74,3.2,49,75,18.34
590,busselton,au,-33.64,60.71,100,8,16.24
591,puerto ayora,ec,-0.74,82.4,69,75,12.75
592,busselton,au,-33.64,60.71,100,8,16.24
593,bluff,nz,-23.58,73.98,71,0,13.22
594,leningradskiy,ru,69.38,11.39,77,24,7.74
595,ushuaia,ar,-54.81,50,76,75,14.99
596,iqaluit,ca,63.75,17.6,78,90,19.46
597,puerto ayora,ec,-0.74,82.4,69,75,12.75
598,iguape,br,-24.7,78.21,99,88,7.07
599,aykhal,ru,65.95,-4.82,64,24,6.62
600,hilo,us,19.71,66.92,65,1,8.05
601,yar-sale,ru,66.83,-11.97,77,20,8.97
602,mar del plata,ar,-46.43,64.22,39,0,15.79
603,sentyabrskiy,ru,-46.43,64.22,39,0,15.79
604,babanusah,sd,-46.43,64.22,39,0,15.79
605,cape town,za,-33.93,62.6,93,90,11.41
606,barentsburg,sj,-33.93,62.6,93,90,11.41
607,constitucion,mx,23.99,69.8,7,5,8.05
608,hobart,au,-42.88,60.8,59,20,10.29
609,la ronge,ca,55.1,1.4,37,5,11.41
610,illoqqortoormiut,gl,55.1,1.4,37,5,11.41
611,samusu,ws,55.1,1.4,37,5,11.41
612,sao joao da barra,br,-21.64,82.4,65,40,13.87
613,busselton,au,-33.64,60.71,100,8,16.24
614,castro,cl,-42.48,57.29,74,80,3.94
615,barrow,us,-38.31,73.31,51,0,11.77
616,upernavik,gl,72.79,13.64,88,24,3.94
617,rikitea,pf,-23.12,78.89,100,0,2.15
618,ugoofaaru,mv,5.67,83.84,100,0,4.38
619,gilgit,pk,35.92,19.85,86,0,0.36
620,kamaishi,jp,39.28,37.99,59,0,8.52
621,kodiak,us,39.95,42.8,70,90,8.05
622,taolanaro,mg,39.95,42.8,70,90,8.05
623,arraial do cabo,br,-22.97,81.48,65,20,13.87
624,lorengau,pg,-2.02,83.21,97,88,10.42
625,belushya guba,ru,-2.02,83.21,97,88,10.42
626,ambilobe,mg,-13.19,70.83,100,56,2.93
627,butaritari,ki,3.07,80.73,100,36,6.85
628,cape town,za,-33.93,62.6,93,90,11.41
629,leningradskiy,ru,69.38,11.39,77,24,7.74
630,acapulco,mx,16.86,82.4,69,40,12.75
631,mataura,pf,-46.19,61.52,76,20,12.33
632,cape town,za,-33.93,62.6,93,90,11.41
633,cape town,za,-33.93,62.6,93,90,11.41
634,moron,mn,10.49,74.89,81,64,4.61
635,ahuimanu,us,21.44,78.35,74,40,4.7
636,waddan,ly,29.16,50.58,59,0,4.72
637,krumovgrad,bg,41.47,33.17,86,0,2.71
638,barrow,us,-38.31,73.31,51,0,11.77
639,ponta do sol,cv,-20.63,76.41,57,0,3.49
640,nizhneyansk,ru,-20.63,76.41,57,0,3.49
641,kuche,cn,-20.63,76.41,57,0,3.49
642,buraydah,sa,26.33,87.8,27,40,16.11
643,taolanaro,mg,26.33,87.8,27,40,16.11
644,tessalit,ml,20.2,70.07,23,0,10.76
645,avera,pf,33.19,78.46,47,75,6.93
646,hervey bay,au,-25.3,75.96,100,92,19.04
647,auki,sb,12.18,73.44,27,0,7.29
648,boddam,gb,57.47,37.4,93,75,9.17
649,hilo,us,19.71,66.92,65,1,8.05
650,brighton,us,50.82,41,86,20,6.93
651,clyde,nz,-45.19,48.2,87,12,2.59
652,cabo san lucas,mx,22.89,83.5,89,5,14.99
653,vaini,to,15.34,68.27,95,0,2.59
654,castro,cl,-42.48,57.29,74,80,3.94
655,hilo,us,19.71,66.92,65,1,8.05
656,mataura,pf,-46.19,61.52,76,20,12.33
657,urucara,br,-2.54,84.11,75,80,2.48
658,bluff,nz,-23.58,73.98,71,0,13.22
659,boa vista,br,2.82,93.2,44,75,8.05
660,carahue,cl,-38.71,61.07,80,0,4.94
661,roma,au,41.89,56.01,82,20,13.87
662,vaini,to,15.34,68.27,95,0,2.59
663,khatanga,ru,71.98,-12.42,79,32,11.99
664,gimli,ca,50.63,14.99,100,48,14.56
665,albany,au,42.65,46.06,93,90,3.36
666,barro,br,46,46.38,75,0,3.36
667,nizhneyansk,ru,46,46.38,75,0,3.36
668,aklavik,ca,68.22,2.8,42,5,10.29
669,fort nelson,ca,58.81,14,43,90,2.24
670,makakilo city,us,21.35,78.35,61,1,6.93
671,mandan,us,46.83,40.19,51,90,13.87
672,taolanaro,mg,46.83,40.19,51,90,13.87
673,punta arenas,cl,-53.16,50.85,40,0,13.87
674,mataura,pf,-46.19,61.52,76,20,12.33
675,rikitea,pf,-23.12,78.89,100,0,2.15
676,albany,au,42.65,46.06,93,90,3.36
677,biak,id,-0.91,76.77,100,68,3.38
678,havre-saint-pierre,ca,50.23,35.6,93,90,2.24
679,rikitea,pf,-23.12,78.89,100,0,2.15
680,rikitea,pf,-23.12,78.89,100,0,2.15
681,saint-philippe,re,45.36,49.06,61,90,9.17
682,chokurdakh,ru,70.62,-17.32,50,12,2.93
683,georgetown,sh,6.8,86,58,40,16.11
684,rikitea,pf,-23.12,78.89,100,0,2.15
685,kaitangata,nz,-46.28,61.39,78,56,9.31
686,poum,nc,41.28,27.59,85,12,1.81
687,rikitea,pf,-23.12,78.89,100,0,2.15
688,kapaa,us,22.08,75.2,73,75,9.17
689,cadillac,us,44.25,42.13,74,90,12.75
690,puerto ayora,ec,-0.74,82.4,69,75,12.75
691,zharkent,kz,44.17,28.99,77,0,4.61
692,grand river south east,mu,44.17,28.99,77,0,4.61
693,iwanai,jp,42.97,38.44,95,56,16.02
694,evansville,us,37.97,54.68,100,75,3.36
695,albany,au,42.65,46.06,93,90,3.36
696,portland,au,45.52,53.85,58,1,4.7
697,faya,td,18.39,68.65,39,0,4.7
698,rikitea,pf,-23.12,78.89,100,0,2.15
699,hobart,au,-42.88,60.8,59,20,10.29
700,bluff,nz,-23.58,73.98,71,0,13.22
701,san lorenzo,ec,-25.34,82.4,74,75,5.82
702,kwinana,au,-32.25,65.59,59,0,4.7
703,rikitea,pf,-23.12,78.89,100,0,2.15
704,usinsk,ru,66,14.5,88,80,8.41
705,vaini,to,15.34,68.27,95,0,2.59
706,victoria,sc,5.28,77.77,94,75,5.82
707,fortuna,us,38.18,59.23,93,0,2.24
708,bargal,so,38.18,59.23,93,0,2.24
709,busselton,au,-33.64,60.71,100,8,16.24
710,gizo,sb,31.8,63.54,63,20,11.41
711,saldanha,za,41.42,43.07,99,92,19.04
712,atuona,pf,-9.8,77.99,100,92,10.54
713,namikupa,tz,-10.84,73.67,95,64,2.37
714,ushuaia,ar,-54.81,50,76,75,14.99
715,busselton,au,-33.64,60.71,100,8,16.24
716,severo-kurilsk,ru,50.68,28.76,100,64,6.17
717,puerto ayora,ec,-0.74,82.4,69,75,12.75
718,faya,td,18.39,68.65,39,0,4.7
719,jamestown,sh,-33.21,42.8,88,0,3.15
720,puerto ayora,ec,-0.74,82.4,69,75,12.75
721,kaitangata,nz,-46.28,61.39,78,56,9.31
722,kapaa,us,22.08,75.2,73,75,9.17
723,riyadh,sa,24.63,86,12,0,5.82
724,rikitea,pf,-23.12,78.89,100,0,2.15
725,fairlie,nz,33.31,68.85,56,75,11.41
726,illoqqortoormiut,gl,33.31,68.85,56,75,11.41
727,mataura,pf,-46.19,61.52,76,20,12.33
728,bridgewater,ca,41.99,51.44,81,90,5.82
729,mar del plata,ar,-46.43,64.22,39,0,15.79
730,provideniya,ru,64.42,28.9,98,80,13
731,grenaa,dk,56.42,33.8,69,88,8.05
732,albany,au,42.65,46.06,93,90,3.36
733,rikitea,pf,-23.12,78.89,100,0,2.15
734,airai,pw,-8.93,65.12,89,0,1.59
735,fortuna,us,38.18,59.23,93,0,2.24
736,illoqqortoormiut,gl,38.18,59.23,93,0,2.24
737,chokurdakh,ru,70.62,-17.32,50,12,2.93
738,beidao,cn,34.57,53.15,64,76,10.2
739,hermanus,za,-34.42,59.99,92,88,0.69
740,arraial do cabo,br,-22.97,81.48,65,20,13.87
741,kapaa,us,22.08,75.2,73,75,9.17
742,tuktoyaktuk,ca,69.44,-4.01,64,5,16.11
743,jiazi,cn,19.61,69.8,94,0,2.24
744,busselton,au,-33.64,60.71,100,8,16.24
745,maneadero,mx,-33.64,60.71,100,8,16.24
746,amderma,ru,-33.64,60.71,100,8,16.24
747,ushuaia,ar,-54.81,50,76,75,14.99
748,mys shmidta,ru,-54.81,50,76,75,14.99
749,atuona,pf,-9.8,77.99,100,92,10.54
750,hithadhoo,mv,-0.6,85.19,100,0,3.71
751,new norfolk,au,-42.78,60.8,59,20,10.29
752,kodiak,us,39.95,42.8,70,90,8.05
753,paamiut,gl,61.99,32.09,91,80,13.78
754,koslan,ru,63.46,17.42,82,68,7.29
755,rikitea,pf,-23.12,78.89,100,0,2.15
756,taolanaro,mg,-23.12,78.89,100,0,2.15
757,tasiilaq,gl,65.61,28.4,58,36,5.82
758,luanda,ao,-8.83,80.6,74,0,6.93
759,nizhneyansk,ru,-8.83,80.6,74,0,6.93
760,sembakung,id,3.82,72.95,100,80,2.48
761,port hardy,ca,50.7,44.6,93,90,12.75
762,rikitea,pf,-23.12,78.89,100,0,2.15
763,khatanga,ru,71.98,-12.42,79,32,11.99
764,clyde river,ca,70.47,-4.01,76,75,1.03
765,atherton,au,53.52,41.04,86,75,5.82
766,cabatuan,ph,16.95,70.02,94,64,2.71
767,bluff,nz,-23.58,73.98,71,0,13.22
768,mataura,pf,-46.19,61.52,76,20,12.33
769,barentsburg,sj,-46.19,61.52,76,20,12.33
770,taolanaro,mg,-46.19,61.52,76,20,12.33
771,new norfolk,au,-42.78,60.8,59,20,10.29
772,tiksi,ru,71.64,-0.27,64,64,6.73
773,saint-jean-de-maurienne,fr,45.28,44.6,87,0,1.12
774,marsh harbour,bs,26.54,73.71,100,20,14.23
775,east london,za,-33.02,64.4,93,40,5.82
776,provideniya,ru,64.42,28.9,98,80,13
777,nuuk,gl,64.17,33.8,59,88,3.15
778,ust-kuyga,ru,70,-18.36,26,0,2.93
779,hermanus,za,-34.42,59.99,92,88,0.69
780,mrirt,ma,-34.42,59.99,92,88,0.69
781,esperance,au,10.24,84.2,62,20,13.87
782,balaguer,es,41.79,49.82,62,92,2.15
783,ostrovnoy,ru,68.05,21.02,94,76,10.54
784,wajima,jp,37.4,42.12,96,0,9.08
785,chuy,uy,-33.69,75.29,90,80,6.73
786,punta arenas,cl,-53.16,50.85,40,0,13.87
787,hithadhoo,mv,-0.6,85.19,100,0,3.71
788,mount gambier,au,-37.83,59.9,97,92,6.4
789,castro,cl,-42.48,57.29,74,80,3.94
790,dujuma,so,-42.48,57.29,74,80,3.94
791,dingle,ie,11,66.87,92,0,3.15
792,alto araguaia,br,-17.32,72.77,89,92,1.48
793,tiksi,ru,71.64,-0.27,64,64,6.73
794,east london,za,-33.02,64.4,93,40,5.82
795,kamenka,ru,53.19,0.59,62,0,2.48
796,saint-philippe,re,45.36,49.06,61,90,9.17
797,albany,au,42.65,46.06,93,90,3.36
798,kruisfontein,za,-34,62.46,100,76,11.1
799,carnarvon,au,-30.97,60.4,87,92,4.5
